epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,5574.35,0.69235,3.44942,0.27251,0.43525,1.10855,0.96887,0.9758,0.99013,0.88,0.84317,0.79959,0.81387,0.64715,0.57663,2.16617,0.06046,0.30573,1.0014,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
22,5793.65,0.68173,3.35737,0.26638,0.42581,1.10129,0.97163,0.97464,0.99081,0.88028,0.86752,0.81318,0.83993,0.67129,0.57989,2.04156,0.06245,0.30109,1.00003,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
23,6160.22,0.67542,3.3115,0.26398,0.42497,1.09774,0.97409,0.96954,0.99035,0.88377,0.8561,0.80668,0.82654,0.66654,0.5713,2.06235,0.0594,0.29646,0.99336,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
24,6794.05,0.66935,3.28881,0.26052,0.41616,1.09238,0.97289,0.97579,0.99074,0.8837,0.86725,0.81318,0.83052,0.6728,0.56455,2.02073,0.05624,0.29227,0.98903,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
25,7425.32,0.66268,3.19964,0.25673,0.41416,1.08963,0.97337,0.97375,0.99103,0.88961,0.85748,0.82423,0.83862,0.6831,0.55901,2.01259,0.05372,0.28482,0.9845,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
26,7969.42,0.66005,3.13136,0.25436,0.4103,1.08992,0.97223,0.97821,0.99089,0.88978,0.85441,0.81894,0.82955,0.67949,0.55038,1.99854,0.05419,0.28396,0.97742,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,8440.76,0.65374,3.05792,0.25048,0.4031,1.0864,0.97594,0.97683,0.99118,0.89039,0.86087,0.83344,0.84289,0.69061,0.55042,1.93742,0.05252,0.2786,0.98099,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
28,8962.81,0.64863,2.9578,0.25067,0.40139,1.08153,0.97488,0.97885,0.99123,0.8924,0.87001,0.83331,0.85439,0.7031,0.54682,1.88317,0.05421,0.27899,0.978,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
29,9502.89,0.64526,2.87574,0.24421,0.39813,1.07945,0.97553,0.97732,0.99108,0.88822,0.86723,0.82906,0.84462,0.69563,0.54333,1.88747,0.04994,0.27816,0.9752,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
30,9871.35,0.62856,2.82689,0.24305,0.39089,1.07234,0.97477,0.98076,0.99118,0.89694,0.86874,0.83344,0.85374,0.70851,0.53758,1.88266,0.05091,0.27251,0.9706,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
